Date,Barrel_oil_£
2018-04-30,51.516108
2018-04-23,49.42017
2018-04-16,48.823319999999995
2018-04-09,47.321258
2018-04-02,44.037776
2018-03-26,46.328196
2018-03-19,46.616687999999996
2018-03-12,44.722716000000005
2018-03-05,44.799084
2018-02-26,44.3695
2018-02-19,45.495445
2018-02-12,43.922328
2018-02-05,42.783840000000005
2018-01-29,46.345145
2018-01-22,46.674998
2018-01-15,45.746803
2018-01-08,46.83612
2018-01-01,45.275135999999996
2017-12-25,44.704758
2017-12-18,43.753100999999994
2017-12-11,43.01511
2017-12-04,42.836448
2017-11-27,43.314792
2017-11-20,44.20071
2017-11-13,42.79704
2017-11-06,43.014594
2017-10-30,42.553472
2017-10-23,41.05563
2017-10-16,39.024553999999995
2017-10-09,38.726415
2017-10-02,37.721637
2017-09-25,38.566488
2017-09-18,37.544126
2017-09-11,36.704073
2017-09-04,35.975596
2017-08-28,36.517338
2017-08-21,37.142333
2017-08-14,37.672866
2017-08-07,37.51817
2017-07-31,38.032818
2017-07-24,37.844223
2017-07-17,35.220015000000004
2017-07-10,35.537943999999996
2017-07-03,34.309211
2017-06-26,35.344908000000004
2017-06-19,33.818763
2017-06-12,35.017998
2017-06-05,35.958217999999995
2017-05-29,36.984159999999996
2017-05-22,38.8938
2017-05-15,38.608143
2017-05-08,37.11427200000001
2017-05-01,35.603266
2017-04-24,38.092625999999996
2017-04-17,38.723448
2017-04-10,42.458912
2017-04-03,42.220368
2017-03-27,40.3029
2017-03-20,38.462346
2017-03-13,39.355703999999996
2017-03-06,39.839384
2017-02-27,43.378622
2017-02-20,43.305379
2017-02-13,43.0137
2017-02-06,43.11493
2017-01-30,43.107063999999994
2017-01-23,42.349905
2017-01-16,42.360602
2017-01-09,43.006244
2017-01-02,43.937062
2016-12-26,43.54006
2016-12-19,43.13177
2016-12-12,41.53038
2016-12-05,40.9528
2016-11-28,40.599807999999996
2016-11-21,36.91709
2016-11-14,37.008900000000004
2016-11-07,34.445834999999995
2016-10-31,35.203116
2016-10-24,39.96322
2016-10-17,41.559705
2016-10-10,41.31721
2016-10-03,40.062183000000005
2016-09-26,37.173744
2016-09-19,34.285184
2016-09-12,33.098676
2016-09-05,34.584344
2016-08-29,33.432212
2016-08-22,36.263568
2016-08-15,37.108096
2016-08-08,34.426362000000005
2016-08-01,31.976999999999997
2016-07-25,31.4496
2016-07-18,33.708132
2016-07-11,34.8301
2016-07-04,35.051978999999996
2016-06-27,36.93846
2016-06-20,34.82484
2016-06-13,33.41807
2016-06-06,34.417698
2016-05-30,33.484593999999994
2016-05-23,33.726921
2016-05-16,32.928399999999996
2016-05-09,32.176023
2016-05-02,30.949379999999994
2016-04-25,31.423056000000003
2016-04-18,30.366111999999998
