Date,Barrel_oil_£,Diesel(pence/litre),Petrol(pence/litre),Dutyrate,vat
2022-06-27,89.04961800000001,198.93,190.93,52.95,20.0
2022-06-20,87.742586,194.87,186.85,52.95,20.0
2022-06-13,89.609124,190.43,182.53,52.95,20.0
2022-06-06,97.959906,184.94,174.99,52.95,20.0
2022-05-30,95.155435,182.25,170.36,52.95,20.0
2022-05-23,91.181468,181.16,167.59,52.95,20.0
2022-05-16,90.651938,179.67,165.09,52.95,20.0
2022-05-09,90.082497,178.39,163.68,52.95,20.0
2022-05-02,88.946631,177.06,162.48,52.95,20.0
2022-04-25,83.249488,176.33,161.84,52.95,20.0
2022-04-18,79.492116,175.93,161.67,52.95,20.0
2022-04-11,81.88092,176.22,161.78,52.95,20.0
2022-04-04,75.38507200000001,176.0,161.91,52.95,20.0
2022-03-28,75.683448,176.44,162.65,52.95,20.0
2022-03-21,86.40454000000001,177.47,165.37,57.95,20.0
2022-03-14,79.43589,169.48,159.96,57.95,20.0
2022-03-07,83.845177,158.56,152.95,57.95,20.0
2022-02-28,87.44251200000001,153.36,149.22,57.95,20.0
2022-02-21,68.307822,151.95,147.77,57.95,20.0
2022-02-14,66.991092,151.1,146.95,57.95,20.0
2022-02-07,68.63332,150.3,146.33,57.95,20.0
2022-01-31,68.21709,149.68,145.74,57.95,20.0
2022-01-24,64.75903799999999,148.81,144.87,57.95,20.0
2022-01-17,62.799264,148.7,144.8,57.95,20.0
2022-01-10,61.28918399999999,148.65,144.82,57.95,20.0
2022-01-03,58.046730000000004,148.85,145.04,57.95,20.0
2021-12-27,55.572669,148.82,144.92,57.95,20.0
2021-12-20,55.11375100000001,148.89,145.16,57.95,20.0
2021-12-13,53.513472,149.88,146.22,57.95,20.0
2021-12-06,53.989011,150.61,146.89,57.95,20.0
2021-11-29,50.06605600000001,151.31,147.53,57.95,20.0
2021-11-22,51.085240000000006,150.73,146.89,57.95,20.0
2021-11-15,56.55752,149.76,145.87,57.95,20.0
2021-11-08,60.212787,148.84,144.9,57.95,20.0
2021-11-01,60.196689,147.48,143.7,57.95,20.0
2021-10-25,61.02281399999999,145.9,141.81,57.95,20.0
2021-10-18,60.89352,143.19,139.46,57.95,20.0
2021-10-11,59.825787999999996,140.66,137.17,57.95,20.0
2021-10-04,58.282575,139.2,136.1,57.95,20.0
2021-09-27,56.007028,137.95,135.19,57.95,20.0
2021-09-20,54.094176,137.35,134.86,57.95,20.0
2021-09-13,52.358175,137.19,134.75,57.95,20.0
2021-09-06,50.365728000000004,137.19,134.76,57.95,20.0
2021-08-30,49.965019000000005,137.11,134.66,57.95,20.0
2021-08-23,49.953357999999994,137.15,134.68,57.95,20.0
2021-08-16,45.74288,136.77,134.77,57.95,20.0
2021-08-09,49.352084,137.31,134.7,57.95,20.0
2021-08-02,49.209396,136.89,134.21,57.95,20.0
2021-07-26,53.18484,136.2,133.48,57.95,20.0
2021-07-19,52.430924999999995,135.95,133.2,57.95,20.0
2021-07-12,52.148422,135.29,132.47,57.95,20.0
2021-07-05,53.63100800000001,134.13,131.7,57.95,20.0
2021-06-28,54.333164,134.27,130.73,57.95,20.0
2021-06-21,53.353025,133.69,130.1,57.95,20.0
2021-06-14,51.86736,133.17,129.47,57.95,20.0
2021-06-07,50.261008,132.38,128.69,57.95,20.0
2021-05-31,49.17260600000001,131.82,128.15,57.95,20.0
2021-05-24,46.73570399999999,131.52,127.89,57.95,20.0
2021-05-17,44.931986,131.03,127.19,57.95,20.0
2021-05-10,46.36040400000001,130.43,126.53,57.95,20.0
2021-05-03,46.435950000000005,130.0,126.09,57.95,20.0
2021-04-26,46.012845999999996,129.77,125.8,57.95,20.0
2021-04-19,44.778084,129.49,125.48,57.95,20.0
2021-04-12,45.636677,129.39,125.4,57.95,20.0
2021-04-05,43.262076,129.35,125.24,57.95,20.0
2021-03-29,44.41606,129.32,125.13,57.95,20.0
2021-03-22,44.215444,129.02,124.57,57.95,20.0
2021-03-15,44.271536,128.24,123.9,57.95,20.0
2021-03-08,47.10798,127.4,122.94,57.95,20.0
2021-03-01,47.736807000000006,126.62,122.17,57.95,20.0
2021-02-22,44.132400000000004,125.71,121.27,57.95,20.0
2021-02-15,42.261816,125.01,120.53,57.95,20.0
2021-02-08,42.955181,124.09,119.67,57.95,20.0
2021-02-01,41.3868,123.7,119.14,57.95,20.0
2021-01-25,38.09556,122.7,118.1,57.95,20.0
2021-01-18,38.188462,121.52,116.93,57.95,20.0
2021-01-11,38.526488,120.61,116.14,57.95,20.0
2021-01-04,38.506104,119.97,115.39,57.95,20.0
2020-12-28,35.482676,119.65,114.91,57.95,20.0
2020-12-21,35.588916999999995,119.17,114.43,57.95,20.0
2020-12-14,36.304539999999996,118.57,113.82,57.95,20.0
2020-12-07,35.206920000000004,117.99,113.17,57.95,20.0
2020-11-30,34.412814,117.41,112.61,57.95,20.0
2020-11-23,34.188477,117.13,112.42,57.95,20.0
2020-11-16,31.726305,117.07,112.35,57.95,20.0
2020-11-09,30.426566,117.28,112.5,57.95,20.0
2020-11-02,28.222686,118.06,113.11,57.95,20.0
2020-10-26,27.647775,118.08,113.14,57.95,20.0
2020-10-19,30.54901,118.08,113.18,57.95,20.0
2020-10-12,31.645208000000004,118.05,113.19,57.95,20.0
2020-10-05,31.11178,118.11,113.26,57.95,20.0
