"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 26, 2022","107.73","106.67","114.02","105.11","282.91K","0.10%"
"Jun 19, 2022","107.62","110.58","112.47","101.53","1.13M","-1.77%"
"Jun 12, 2022","109.56","120.19","123.68","108.25","1.31M","-9.21%"
"Jun 05, 2022","120.67","120.82","123.18","117.14","1.58M","1.51%"
"May 29, 2022","118.87","114.96","120.46","111.20","1.30M","3.30%"
"May 22, 2022","115.07","110.56","115.30","108.61","1.08M","1.63%"
"May 15, 2022","113.23","110.98","115.56","105.13","733.94K","2.48%"
"May 08, 2022","110.49","110.43","110.64","98.20","1.71M","0.66%"
"May 01, 2022","109.77","104.00","111.37","100.28","1.36M","4.85%"
"Apr 24, 2022","104.69","101.38","107.99","95.28","1.57M","2.57%"
"Apr 17, 2022","102.07","107.03","109.81","100.70","683.73K","-4.56%"
"Apr 10, 2022","106.95","98.40","107.64","92.93","1.20M","8.84%"
"Apr 03, 2022","98.26","98.95","105.59","93.81","1.61M","-1.02%"
"Mar 27, 2022","99.27","112.92","112.93","97.78","1.82M","-12.84%"
"Mar 20, 2022","113.90","105.13","116.64","104.08","1.02M","8.79%"
"Mar 13, 2022","104.70","109.42","109.72","93.53","1.32M","-4.23%"
"Mar 06, 2022","109.33","121.33","130.50","103.63","2.56M","-5.49%"
"Feb 27, 2022","115.68","94.99","116.57","94.43","2.93M","26.30%"
"Feb 20, 2022","91.59","91.75","100.54","90.06","1.88M","0.57%"
"Feb 13, 2022","91.07","93.91","95.82","89.03","1.67M","-2.18%"
"Feb 06, 2022","93.10","91.82","94.66","88.41","2.46M","0.86%"
"Jan 30, 2022","92.31","87.45","93.17","86.34","2.07M","6.32%"
"Jan 23, 2022","86.82","84.91","88.84","81.90","2.34M","1.97%"
"Jan 16, 2022","85.14","84.32","87.91","82.78","816.28K","1.57%"
"Jan 09, 2022","83.82","78.88","84.45","77.83","2.02M","6.24%"
"Jan 02, 2022","78.90","75.69","80.47","74.27","1.98M","4.91%"
"Dec 26, 2021","75.21","73.38","77.44","72.57","1.27M","1.92%"
"Dec 19, 2021","73.79","70.07","73.95","66.04","972.44K","4.13%"
"Dec 12, 2021","70.86","72.04","73.00","69.39","1.28M","-1.13%"
"Dec 05, 2021","71.67","67.02","73.34","66.72","2.15M","8.16%"
"Nov 28, 2021","66.26","69.23","72.93","62.43","3.12M","-2.77%"
"Nov 21, 2021","68.15","75.75","79.23","67.40","2.15M","-10.45%"
"Nov 14, 2021","76.10","80.66","81.81","75.37","958.31K","-5.81%"
"Nov 07, 2021","80.79","81.13","84.97","79.78","2.32M","-0.59%"
"Oct 31, 2021","81.27","83.36","84.88","78.25","2.62M","-2.75%"
"Oct 24, 2021","83.57","83.98","85.41","80.58","2.57M","-0.23%"
"Oct 17, 2021","83.76","82.60","84.25","80.79","1.28M","1.80%"
